Timestamp,Timeofday,Cable_X_pos,Cable_Y_pos,Cable_Z_pos,Cable_offset_X,Cable_offset_Y,Cable_offset_Z,Norm_X_comp,Norm_Y_comp,Norm_Z_comp,Cable_lock
1759744831,120030.777,619487.0762,5806174.614,40.4695,0.02,0.06,-1.09,0,1,0.05,1
1759744831,120030.98,619487.0762,5806174.614,40.4695,0.02,0.06,-1.09,0,1,0.05,1
1759744831,120031.2,619487.076,5806174.615,40.4685,0.02,0.06,-1.09,0,1,0.05,1
1759744831,120031.401,619487.0785,5806174.611,40.4724,0.02,0.06,-1.08,0,1,0.05,1
1759744832,120031.603,619487.0782,5806174.612,40.4681,0.02,0.05,-1.09,0,1,0.05,1
1759744832,120031.806,619487.0782,5806174.612,40.4681,0.02,0.05,-1.09,0,1,0.05,1
1759744832,120032.01,619487.0741,5806174.612,40.4684,0.02,0.06,-1.09,-0.02,0.99,0.05,1
1759744832,120032.212,619487.0915,5806174.609,40.4685,0.02,0.05,-1.09,-0.01,1,0.05,1
1759744832,120032.416,619487.0255,5806174.607,40.485,0.02,0.06,-1.08,0,1,0.06,1
1759744833,120032.634,619486.9994,5806174.604,40.4832,0.02,0.06,-1.08,-0.01,0.99,0.05,1
1759744833,120032.634,619486.9942,5806174.607,40.4882,0.02,0.06,-1.08,0,1,0.06,1
1759744833,120032.836,619486.9361,5806174.603,40.4945,0.02,0.06,-1.08,0,0.99,0.06,1
1759744833,120033.041,619486.9557,5806174.588,40.5028,0.02,0.06,-1.08,0,0.99,0.06,1
1759744833,120033.242,619486.94,5806174.601,40.492,0.02,0.06,-1.08,0,1,0.06,1
1759744833,120033.445,619486.913,5806174.605,40.4843,0.02,0.07,-1.07,0,1,0.06,1
1759744834,120033.647,619486.8761,5806174.6,40.4859,0.02,0.07,-1.07,0,1,0.06,1
1759744834,120033.865,619486.8502,5806174.596,40.4873,0.02,0.07,-1.07,0,1,0.06,1
1759744834,120034.067,619486.84,5806174.604,40.487,0.02,0.07,-1.07,0,1,0.06,1
1759744834,120034.269,619486.8475,5806174.606,40.4853,0.02,0.06,-1.07,0,1,0.06,1
1759744834,120034.469,619486.8588,5806174.609,40.485,0.02,0.06,-1.07,0,1,0.06,1
1759744835,120034.672,619486.9184,5806174.607,40.479,0.02,0.06,-1.08,-0.01,0.99,0.06,1
1759744835,120034.888,619486.9357,5806174.591,40.4764,0.02,0.06,-1.08,-0.01,0.99,0.06,1
1759744835,120035.091,619486.8798,5806174.612,40.4626,0.02,0.07,-1.07,-0.01,1,0.06,1
1759744835,120035.291,619486.8032,5806174.603,40.4763,0.02,0.07,-1.07,-0.01,0.99,0.06,1
1759744835,120035.493,619486.7191,5806174.594,40.482,0.02,0.07,-1.06,0,1,0.06,1
1759744836,120035.697,619486.6137,5806174.595,40.4822,0.02,0.08,-1.05,0,0.99,0.07,1
1759744836,120035.915,619486.4092,5806174.59,40.4713,0.02,0.08,-1.05,0,0.99,0.07,1
1759744836,120036.118,619486.2345,5806174.594,40.5081,0.01,0.1,-1.03,0,0.99,0.09,1
1759744836,120036.319,619486.2613,5806174.577,40.5123,0.02,0.09,-1.04,0.01,0.99,0.08,1
1759744837,120036.522,619486.2536,5806174.571,40.4879,0.02,0.07,-1.05,0.01,0.99,0.06,1
1759744837,120036.723,619486.1866,5806174.59,40.4878,0.02,0.07,-1.05,0.02,1,0.07,1
1759744837,120036.927,619486.1435,5806174.594,40.4972,0.02,0.07,-1.05,0.01,1,0.07,1
1759744837,120037.132,619486.142,5806174.613,40.4842,0.02,0.07,-1.05,0.01,1,0.06,1
1759744837,120037.347,619486.1846,5806174.608,40.4768,0.02,0.06,-1.06,0.01,1,0.06,1
1759744838,120037.549,619486.2826,5806174.614,40.4692,0.02,0.04,-1.06,0.01,1,0.04,1
1759744838,120037.753,619486.2502,5806174.586,40.4726,0.02,0.02,-1.06,0.01,1,0.02,1
1759744838,120037.957,619486.2337,5806174.581,40.4706,0.02,0.02,-1.06,0.02,1,0.01,1
1759744838,120038.158,619486.2972,5806174.606,40.4584,0.03,-0.01,-1.07,0.02,1,-0.01,1
1759744838,120038.374,619486.3485,5806174.632,40.4348,0.03,-0.05,-1.07,0.02,1,-0.04,1
1759744839,120038.577,619486.1334,5806174.557,40.4726,0.02,-0.03,-1.08,0,1,-0.03,1
1759744839,120038.779,619486.0405,5806174.538,40.4704,0.03,-0.03,-1.08,0.01,1,-0.02,1
1759744839,120038.981,619485.9328,5806174.578,40.4699,0.04,-0.04,-1.08,0.02,1,-0.03,1
1759744839,120039.183,619485.7864,5806174.622,40.4637,0.04,-0.01,-1.08,0.02,1,-0.01,1
1759744839,120039.387,619485.7007,5806174.597,40.4862,0.03,-0.03,-1.08,0.01,1,-0.02,1
1759744840,120039.603,619485.4728,5806174.604,40.482,0.04,0,-1.08,0.02,1,0,1
1759744840,120039.806,619485.3852,5806174.623,40.4849,0.04,-0.01,-1.08,0.03,1,0,1
1759744840,120040.009,619485.2423,5806174.613,40.4856,0.04,0,-1.08,0.03,1,0,1
1759744840,120040.209,619485.1261,5806174.595,40.5084,0.05,0.01,-1.07,0.04,1,0.01,1
1759744840,120040.413,619485.033,5806174.63,40.4805,0.06,-0.01,-1.08,0.06,1,0,1
1759744841,120040.628,619484.8256,5806174.64,40.4975,0.06,0.01,-1.07,0.05,0.99,0.01,1
1759744841,120040.832,619484.6822,5806174.586,40.5204,0.05,0.01,-1.07,0.04,1,0.01,1
1759744841,120040.832,619484.7071,5806174.589,40.5148,0.07,-0.01,-1.07,0.05,1,-0.01,1
1759744841,120041.031,619484.4863,5806174.613,40.5196,0.09,0.01,-1.07,0.06,0.99,0.01,1
1759744841,120041.232,619484.2671,5806174.617,40.511,0.08,0.01,-1.07,0.05,1,0.01,1
1759744841,120041.436,619484.1819,5806174.603,40.5229,0.08,0.01,-1.07,0.04,0.99,0.01,1
1759744842,120041.654,619483.9369,5806174.623,40.5389,0.09,0.02,-1.06,0.03,1,0.02,1
1759744842,120041.858,619483.9671,5806174.661,40.5328,0.11,0,-1.07,0.07,1,0.01,1
1759744842,120042.062,619483.8568,5806174.628,40.5481,0.11,0.01,-1.06,0.05,0.99,0.02,1
1759744842,120042.266,619483.5079,5806174.649,40.5106,0.1,0.02,-1.06,0.03,1,0.02,1
1759744842,120042.468,619483.3943,5806174.643,40.5429,0.12,0.01,-1.06,0.04,1,0.01,1
1759744843,120042.669,619483.3472,5806174.651,40.5505,0.11,0.02,-1.06,0.04,1,0.02,1
1759744843,120042.872,619483.0927,5806174.634,40.5507,0.11,0.02,-1.06,0.04,1,0.02,1
1759744843,120043.09,619483.0404,5806174.642,40.5636,0.12,0.02,-1.06,0.05,1,0.03,1
1759744843,120043.292,619482.9892,5806174.663,40.5578,0.11,0.03,-1.05,0.03,1,0.04,1
1759744843,120043.495,619482.885,5806174.674,40.5742,0.11,0.07,-1.05,-0.01,1,0.07,1
1759744844,120043.698,619482.8114,5806174.695,40.5654,0.1,0.08,-1.05,-0.05,1,0.07,1
1759744844,120043.899,619482.9876,5806174.681,40.5502,0.11,0.02,-1.05,-0.06,0.99,0.01,1
1759744844,120044.102,619482.9415,5806174.68,40.5457,0.1,0.05,-1.05,-0.04,1,0.05,1
1759744844,120044.32,619482.9462,5806174.662,40.5466,0.1,0.01,-1.06,-0.06,1,0.01,1
1759744845,120044.522,619482.9645,5806174.662,40.5498,0.1,0,-1.06,-0.04,1,0,1
1759744845,120044.725,619482.8592,5806174.676,40.5268,0.09,0.01,-1.05,-0.04,1,0,1
1759744845,120044.927,619482.735,5806174.663,40.5379,0.08,0.01,-1.05,-0.04,1,0,1
1759744845,120045.128,619482.6211,5806174.651,40.5581,0.08,0.01,-1.05,-0.04,1,0,1
1759744845,120045.331,619482.4401,5806174.641,40.5605,0.08,0,-1.05,-0.03,1,0,1
1759744846,120045.548,619482.0659,5806174.683,40.5474,0.07,0.03,-1.05,-0.02,1,0.03,1
1759744846,120045.751,619481.931,5806174.678,40.5557,0.06,0.04,-1.04,-0.03,1,0.03,1
1759744846,120045.953,619481.7757,5806174.68,40.5402,0.06,0.03,-1.05,-0.02,1,0.03,1
1759744846,120046.155,619481.6046,5806174.746,40.5254,0.06,0.04,-1.04,-0.02,1,0.03,1
1759744846,120046.356,619481.4621,5806174.727,40.526,0.05,0.03,-1.04,-0.02,1,0.03,1
1759744847,120046.576,619481.3147,5806174.717,40.5325,0.05,0.03,-1.04,-0.02,1,0.03,1
1759744847,120046.779,619481.1269,5806174.677,40.544,0.04,0.04,-1.04,-0.03,1,0.04,1
