Timestamp,Timeofday,Cart_X_pos,Cart_Y_pos,Cart_Z_pos,Yaw,Roll,Pitch,Missing,Cable_lock
1759744831,120030.777,619487.27,5806174.64,41.54,-87.9,7.2,2.9,,1
1759744831,120030.98,619487.27,5806174.64,41.54,-87.9,7.2,2.9,,1
1759744831,120031.2,619487.27,5806174.64,41.54,-87.9,7.2,2.9,,1
1759744831,120031.401,619487.27,5806174.64,41.54,-87.9,7.2,2.9,,1
1759744832,120031.603,619487.27,5806174.64,41.54,-87.9,7.2,2.9,,1
1759744832,120031.806,619487.27,5806174.64,41.54,-87.9,7.2,2.9,,1
1759744832,120032.01,619487.27,5806174.64,41.54,-87.9,7.2,2.9,,1
1759744832,120032.212,619487.27,5806174.64,41.54,-87.4,6.5,3.2,,1
1759744832,120032.416,619487.22,5806174.64,41.55,-88,7.1,3.2,,1
1759744833,120032.634,619487.19,5806174.64,41.55,-88,7.1,3.2,,1
1759744833,120032.634,619487.19,5806174.64,41.55,-88.3,7.1,3.2,,1
1759744833,120032.836,619487.15,5806174.64,41.55,-87.2,8.1,3.5,,1
1759744833,120033.041,619487.16,5806174.63,41.56,-87.8,7.6,3.6,,1
1759744833,120033.242,619487.14,5806174.64,41.55,-88.3,7.3,3.5,,1
1759744833,120033.445,619487.12,5806174.64,41.54,-87.8,7.5,3.3,,1
1759744834,120033.647,619487.09,5806174.64,41.54,-88.6,7.9,3.4,,1
1759744834,120033.865,619487.07,5806174.64,41.54,-88.2,8.2,3.7,,1
1759744834,120034.067,619487.06,5806174.64,41.54,-87.7,8.2,3.4,,1
1759744834,120034.269,619487.06,5806174.64,41.54,-88.4,7.9,3.4,,1
1759744834,120034.469,619487.07,5806174.64,41.54,-87.5,7.8,3.4,,1
1759744835,120034.672,619487.1,5806174.64,41.54,-87,6.3,3.3,,1
1759744835,120034.888,619487.1,5806174.63,41.54,-88.1,5.4,3.4,,1
1759744835,120035.091,619487.05,5806174.64,41.52,-87.3,5.5,2.9,,1
1759744835,120035.291,619486.98,5806174.64,41.53,-87.6,5.9,3.2,,1
1759744835,120035.493,619486.9,5806174.63,41.53,-88.1,6,3.3,,1
1759744836,120035.697,619486.81,5806174.63,41.52,-88,6.5,3.2,,1
1759744836,120035.915,619486.6,5806174.63,41.51,-88.3,6.2,3.4,,1
1759744836,120036.118,619486.47,5806174.63,41.52,-88.3,7.7,3.2,,1
1759744836,120036.319,619486.48,5806174.61,41.53,-88.9,7.4,2.9,,1
1759744837,120036.522,619486.44,5806174.59,41.52,-89.4,6.5,2,,1
1759744837,120036.723,619486.38,5806174.58,41.52,-88.3,6.9,1,,1
1759744837,120036.927,619486.35,5806174.58,41.53,-88.3,7.5,0.6,,1
1759744837,120037.132,619486.34,5806174.59,41.52,-88.8,7.2,0.1,,1
1759744837,120037.347,619486.36,5806174.59,41.52,-88.8,6.3,0.3,,1
1759744838,120037.549,619486.4,5806174.6,41.52,-88.1,4.4,0.6,,1
1759744838,120037.753,619486.34,5806174.59,41.53,-89.2,3.5,1.3,,1
1759744838,120037.957,619486.31,5806174.59,41.53,-89.5,3.3,1.5,,1
1759744838,120038.158,619486.33,5806174.6,41.53,-88.3,2.2,1.1,,1
1759744838,120038.374,619486.3,5806174.63,41.51,-87.9,0,1.5,,1
1759744839,120038.577,619486.12,5806174.58,41.55,-89.1,0.9,2.3,,1
1759744839,120038.779,619486.05,5806174.54,41.55,-89,1.9,1.7,,1
1759744839,120038.981,619485.92,5806174.55,41.55,-88.7,1.3,0.6,,1
1759744839,120039.183,619485.82,5806174.59,41.54,-88.3,2.4,0.3,,1
1759744839,120039.387,619485.7,5806174.58,41.57,-89.2,1.4,0.9,,1
1759744840,120039.603,619485.53,5806174.59,41.56,-89.5,3.3,1.2,,1
1759744840,120039.806,619485.44,5806174.6,41.56,-89.5,3.2,1.1,,1
1759744840,120040.009,619485.3,5806174.59,41.56,-89.5,3.2,1.1,,1
1759744840,120040.209,619485.19,5806174.58,41.58,-90.6,3.1,1.7,,1
1759744840,120040.413,619485.08,5806174.61,41.56,-89.5,2.9,2.1,,1
1759744841,120040.628,619484.89,5806174.62,41.57,-89.5,2.9,2.1,,1
1759744841,120040.832,619484.75,5806174.57,41.59,-89.5,2.9,2.1,,1
1759744841,120040.832,619484.75,5806174.57,41.59,-90.7,2.8,2.8,,1
1759744841,120041.031,619484.57,5806174.55,41.59,-90.7,4,1.4,,1
1759744841,120041.232,619484.36,5806174.57,41.58,-89.6,4.4,2,,1
1759744841,120041.436,619484.26,5806174.59,41.59,-88.6,3.9,3.7,,1
1759744842,120041.654,619484.05,5806174.6,41.6,-88.6,5.2,3.6,,1
1759744842,120041.858,619484.05,5806174.6,41.6,-90.6,4.3,2.5,,1
1759744842,120042.062,619483.96,5806174.56,41.61,-89,4.9,2.3,,1
1759744842,120042.266,619483.63,5806174.6,41.57,-89.6,5.6,2.8,,1
1759744842,120042.468,619483.51,5806174.58,41.6,-89.6,5.8,2.9,,1
1759744843,120042.669,619483.51,5806174.58,41.6,-89.4,7.7,2.4,,1
1759744843,120042.872,619483.26,5806174.57,41.6,-90,7.9,2.7,,1
1759744843,120043.09,619483.21,5806174.57,41.61,-89.7,7.9,2.7,,1
1759744843,120043.292,619483.17,5806174.58,41.6,-87.8,8.2,2.1,,1
1759744843,120043.495,619483.11,5806174.59,41.6,-85,8.9,2.5,,1
1759744844,120043.698,619483.04,5806174.61,41.59,-83.5,8.9,2.5,,1
1759744844,120043.899,619483.11,5806174.62,41.6,-84.5,5.9,3.2,,1
1759744844,120044.102,619483.1,5806174.62,41.59,-84.3,6,3.1,,1
